ID,Customer Name,Sales Person (Sales Team),Coordinators,Customer Group,Zone,Total_Target,Total_Achievement,N_brands_active,Overall_Achievement_pct,is_zero_achiever
ETLCUST-00475,SUPREME ELECTRONIC - GULISTAN,Md Kamrul Hasan Sabuz,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,2700000.0,566000.0,1,0.20962962962962964,False
ETLCUST-03939,SEBA TECHNOLOGIES -GAZIPUR ,MD. Shipon Ali,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,10646500.0,8716785.0,15,0.8187465364204198,False
ETLCUST-04023,COMPUTER CITY - GAZIPUR,Md. Rahad,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,1300000.0,2015260.0,9,1.5502,False
ETLCUST-01421,GAZIPUR ENTERPRISE - GAZIPUR,Md. Rahad,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,15850000.0,1271145.0,5,0.08019842271293376,False
ETLCUST-01903,AKRAM ENTERPRISE - GULISTAN,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,12420000.0,12217260.0,7,0.9836763285024155,False
ETLCUST-03107,DADA ENTERPRISE PRADHAN - GULISTAN,Shamim Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,23200000.0,11748720.0,4,0.5064103448275862,False
ETLCUST-03703,LAMIYA ELECTRONICS - GULISTAN,Shamim Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,1500000.0,518500.0,1,0.3456666666666667,False
ETLCUST-01886,U.H COMPUTERS - MOTIJHEEL,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,66798348.0,31584855.0,21,0.4728388642186181,False
ETLCUST-00463,NI-TEX MARKETING CENTER - GULISTAN,Md Kamrul Hasan Sabuz,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,0.0,0.0,0,,False
ETLCUST-03461,M S TECHNOLOGY -UTTARA ,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,1400000.0,918500.0,4,0.6560714285714285,False
ETLCUST-00355,ISLAM ENTERPRISE - GULSHAN,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,4556240.0,2303640.0,8,0.5056011096869348,False
ETLCUST-03993,TAQWA ENTERPRICE - GULSHAN,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,4000000.0,2066775.0,1,0.51669375,False
ETLCUST-04308,RYANS COMPUTER'S - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,10449126.0,3773390.0,14,0.3611201549297042,False
ETLCUST-00932,O.M TELECOM - GULISHTAN,Shamim Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,11780000.0,1584100.0,4,0.13447368421052633,False
ETLCUST-00940,MAKKA COMPUTER - GULISTAN,Shamim Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,60050000.0,32695925.0,7,0.5444783513738551,False
ETLCUST-01246,DILRAJ COMPUTER - MOTIJHEEL,Md. Akram Rashid,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,437660000.0,250105225.0,12,0.5714600945939771,False
ETLCUST-01574,DADA BHAI ELECTRONICS - NAWABPUR,Shamim Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,1000000.0,76400.0,1,0.0764,False
ETLCUST-04271,IFRAH TECHNOLOGY - STADIUM,Md. Sahedul Islam,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,39500000.0,24393700.0,6,0.6175620253164557,False
ETLCUST-04860,JM INTERNATIONAL - BAITUL MUKARRAM,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,0.0,0.0,0,,False
ETLCUST-00371,SHAON ELECTRONICS - KHILKHET,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,1225000.0,632620.0,4,0.5164244897959184,False
ETLCUST-04569,LOKMAN TECHNOLOGY - B. MOKARRAM,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,600000.0,571300.0,4,0.9521666666666667,False
ETLCUST-04856,J.M INTERNATIONAL - Motijheel ,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,3500000.0,9177200.0,3,2.622057142857143,False
ETLCUST-00352,S.S COMPUTER - KHILKHET,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,4330000.0,1734605.0,13,0.4006016166281755,False
ETLCUST-00339,TRUST TECHNOLOGIES - BADDA,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,3900000.0,1263720.0,11,0.32403076923076923,False
ETLCUST-03801,IT STORE - GULSHAN,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,0.0,282110.0,2,,False
ETLCUST-04152,RAJ ENTERPRISE - NAWABPUR,Noor Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,28150000.0,21389275.0,6,0.7598321492007105,False
ETLCUST-00353,COMPUTER TECHNOLOGY - MOHAKHALI,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,4660000.0,1387675.0,10,0.2977843347639485,False
ETLCUST-00359,IT NEWS COMPUTER - UTTARA,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,1765000.0,958545.0,8,0.5430849858356941,False
ETLCUST-02599,NEW GULSHAN COMPUTERS - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,831000.0,72420.0,6,0.08714801444043321,False
ETLCUST-00368,ORIGINAL STORE LTD - GULSHAN,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,3367000.0,1083100.0,18,0.3216810216810217,False
ETLCUST-01437,GRAND ELECTRONICS - TONGI,Saifullah Akndah,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,0.0,0.0,0,,False
ETLCUST-00101,J-ELECTRONICS AND WATCH - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,2807900.0,819575.0,7,0.29188183339862533,False
ETLCUST-01429,R.A COMPUTER AND PRNTER SOLUTIONS - GAZIPUR,Md. Rahad,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,2850000.0,1181995.0,7,0.41473508771929823,False
ETLCUST-03929,AL-MODINA ENTERPRISE - GAZIPUR,Md. Rahad,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,29800000.0,8640755.0,10,0.28995822147651007,False
ETLCUST-01405,GIGABYTE COMPUTER - TONGI,Saifullah Akndah,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,525000.0,209000.0,6,0.3980952380952381,False
ETLCUST-00149,UTTARA PRINT WORLD - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,3860000.0,1892940.0,5,0.49039896373056996,False
ETLCUST-00143,TRUST COMPUTER - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,19700000.0,1553975.0,13,0.07888197969543147,False
ETLCUST-04628,HIGH TECH SECURITIES - B. MUKARRAM,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,4000000.0,4735040.0,4,1.18376,False
ETLCUST-01210,CHOWDHURY COMPUTER- MOTIJHEEL,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,525000.0,55600.0,5,0.1059047619047619,False
ETLCUST-01431,PATWARY ELECTRONICS - GAZIPUR,Saifullah Akndah,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,67200000.0,21419745.0,9,0.3187462053571429,False
ETLCUST-00152,MULTILINK COMPUTERS - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,20828932.0,13422865.0,21,0.6444336656339364,False
ETLCUST-04325,R H INTERNATIONAL - BAITUL MUKARRAM,Md. Sahedul Islam,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,6300000.0,1553525.0,10,0.24659126984126983,False
ETLCUST-01217,MRIDULA COMPUTER - MOTIJHEEL,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,1101000.0,0.0,5,0.0,True
ETLCUST-00472,M.RAHMAN ELECTRONICS - GULISTAN,Md Kamrul Hasan Sabuz,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,2200000.0,493700.0,1,0.22440909090909092,False
ETLCUST-04649,MIZAN COMPUTER - MOTIJHEEL,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,860000.0,851600.0,3,0.9902325581395349,False
ETLCUST-00327,RAPID TECHNOLOGIES - GULSHAN,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,961000.0,440000.0,7,0.4578563995837669,False
ETLCUST-01870,ANWARA TRADING INTERNATIONAL - PALTAN,Md. Akram Rashid,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,3000000.0,592000.0,4,0.19733333333333333,False
ETLCUST-04472,RIT COMPUTER AND IT SUPPORT - GAZIPUR,MD. Shipon Ali,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,2200000.0,1126365.0,5,0.5119840909090909,False
ETLCUST-01440,H.M ELECTRONICS - GAZIPUR,Saifullah Akndah,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,1000000.0,109350.0,1,0.10935,False
ETLCUST-01666,VERBAL - MOTIJHEEL,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,10756820.0,2479500.0,12,0.2305049261770672,False
ETLCUST-01879,TANVIR TRADERS - PALTAN,Md. Akram Rashid,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,7420000.0,1199000.0,3,0.16159029649595688,False
ETLCUST-00957,ANIK ELECTRONICS AND ELECTRIC - GULISTAN,Md Kamrul Hasan Sabuz,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,5000000.0,378400.0,1,0.07568,False
ETLCUST-01592,ACTIVE ELECTRONICS - GULISTAN,Shamim Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,1000000.0,352250.0,1,0.35225,False
ETLCUST-00480,SUPER KING TRADE INT.- GULISTAN,Md Kamrul Hasan Sabuz,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,1000000.0,425600.0,1,0.4256,False
